id,module,status,durationMs,title,file,error
9abec293-e2c2-4f95-96a5-972e8e7ac3fc,Api,passed,1909,api/vak/translate.api.spec.js > [API] VAK > translate endpoint returns hindi to english text,api/vak/translate.api.spec.js,
9abec293-e2c2-4f95-96a5-972e8e7ac3fc,Api,passed,2339,api/vak/translate.api.spec.js > [API] VAK > translate endpoint supports bengali source,api/vak/translate.api.spec.js,
9abec293-e2c2-4f95-96a5-972e8e7ac3fc,Api,passed,6151,api/vak/translate.api.spec.js > [API] VAK > tts endpoint returns audio for translated output,api/vak/translate.api.spec.js,
9abec293-e2c2-4f95-96a5-972e8e7ac3fc,Api,passed,6175,api/zero-stt-codeswitch/stt.api.spec.js > [API] Zero STT Codeswitch > stt endpoint transcribes hinglish upload,api/zero-stt-codeswitch/stt.api.spec.js,
9abec293-e2c2-4f95-96a5-972e8e7ac3fc,Api,passed,16,api/zero-stt-codeswitch/stt.api.spec.js > [API] Zero STT Codeswitch > codeswitch sample transcript asset is available,api/zero-stt-codeswitch/stt.api.spec.js,
9abec293-e2c2-4f95-96a5-972e8e7ac3fc,Api,passed,796,api/zero-stt-indic/stt.api.spec.js > [API] Zero STT Indic > token endpoint issues browser session,api/zero-stt-indic/stt.api.spec.js,
9abec293-e2c2-4f95-96a5-972e8e7ac3fc,Api,passed,4877,api/zero-stt-indic/stt.api.spec.js > [API] Zero STT Indic > stt endpoint transcribes uploaded english audio,api/zero-stt-indic/stt.api.spec.js,
9abec293-e2c2-4f95-96a5-972e8e7ac3fc,Api,passed,17,api/zero-stt-indic/stt.api.spec.js > [API] Zero STT Indic > sample transcript asset is available,api/zero-stt-indic/stt.api.spec.js,
9abec293-e2c2-4f95-96a5-972e8e7ac3fc,Api,passed,3446,api/zero-stt-med/stt.api.spec.js > [API] Zero STT Med > stt endpoint accepts medical domain upload,api/zero-stt-med/stt.api.spec.js,
9abec293-e2c2-4f95-96a5-972e8e7ac3fc,Api,passed,20,api/zero-stt-med/stt.api.spec.js > [API] Zero STT Med > patient notes sample transcript asset is available,api/zero-stt-med/stt.api.spec.js,
